R, G, B
283, 250, 242
269, 234, 230
270, 230, 230
258, 220, 222
241, 203, 208
250, 209, 214
257, 216, 219
265, 221, 223
281, 240, 241
273, 234, 232
290, 252, 248
284, 250, 245
275, 244, 237
263, 237, 229
246, 222, 216
248, 225, 221
247, 224, 224
256, 232, 232
270, 246, 248
282, 257, 259
290, 264, 265
305, 277, 278
298, 269, 272
273, 248, 246
255, 231, 227
240, 219, 213
234, 212, 203
225, 205, 196
221, 200, 192
226, 201, 195
247, 220, 213
257, 229, 222
263, 234, 233
272, 246, 247
281, 259, 259
268, 248, 246
262, 241, 238
265, 242, 236
266, 241, 234
282, 253, 246
316, 284, 272
335, 302, 285
345, 315, 297
336, 311, 292
318, 295, 281
317, 293, 285
323, 299, 292
308, 286, 280
292, 272, 268
261, 245, 242
239, 222, 222
244, 226, 226
263, 242, 242
269, 248, 247
294, 273, 269
310, 289, 282
301, 280, 274
291, 271, 267
282, 264, 256
289, 271, 265
291, 272, 266
292, 272, 262
300, 278, 269
290, 270, 262
288, 268, 261
292, 271, 268
289, 269, 267
283, 265, 262
289, 270, 267
293, 273, 270
302, 277, 277
322, 301, 298
324, 304, 302
308, 290, 286
304, 290, 284
279, 269, 265
258, 246, 244
263, 252, 249
265, 256, 251
294, 286, 282
320, 313, 308
328, 323, 311
344, 336, 327
359, 351, 342
380, 370, 362
383, 373, 365
381, 367, 359
378, 367, 357
370, 354, 346
357, 337, 327
367, 344, 335
363, 344, 337
380, 361, 358
386, 366, 361
382, 362, 355
365, 346, 339
358, 344, 335
358, 346, 338
363, 351, 343
360, 349, 337
352, 339, 330
343, 333, 321
338, 326, 315
345, 332, 321
337, 324, 313
353, 341, 326
342, 328, 316
339, 322, 311
348, 330, 315
363, 345, 328
372, 355, 339
383, 373, 351
371, 359, 340
378, 364, 348
376, 364, 346
359, 344, 328
349, 336, 324
340, 329, 322
343, 334, 329
328, 322, 317
313, 305, 302
309, 302, 295
317, 308, 298
340, 332, 320
345, 335, 322
381, 368, 349
386, 373, 350
385, 370, 349
401, 386, 365
404, 391, 372
409, 399, 383
407, 398, 384
398, 392, 378
375, 369, 356
340, 333, 321
322, 314, 305
313, 304, 297
311, 304, 298
317, 310, 302
316, 307, 298
302, 293, 286
300, 293, 287
311, 306, 303
330, 328, 325
364, 361, 357
352, 351, 346
353, 347, 340
374, 363, 355
392, 379, 367
413, 400, 384
405, 392, 378
402, 391, 377
419, 409, 395
434, 424, 410
410, 402, 392
387, 377, 368
360, 350, 340
355, 345, 334
354, 348, 337
344, 338, 324
332, 324, 310
327, 322, 307
328, 324, 308
327, 326, 314
316, 316, 310
307, 305, 303
317, 312, 310
322, 314, 313
339, 330, 330
338, 325, 324
389, 373, 371
412, 396, 386
411, 395, 382
389, 372, 363
367, 353, 346
362, 351, 345
365, 353, 348
389, 379, 373
430, 421, 417
442, 440, 439
452, 452, 450
448, 450, 450
458, 463, 453
433, 434, 429
411, 412, 406
401, 405, 401
383, 389, 386
378, 382, 378
388, 386, 382
378, 376, 370
381, 381, 370
399, 399, 384
425, 427, 403
430, 426, 403
434, 428, 407
427, 420, 403
457, 446, 431
454, 445, 430
442, 437, 421
446, 443, 429
463, 458, 443
453, 448, 436
468, 465, 446
469, 464, 446
480, 477, 460
466, 468, 454
440, 443, 429
421, 421, 413
392, 391, 387
378, 378, 375
400, 403, 400
400, 403, 400
401, 408, 398
405, 413, 404
391, 398, 389
397, 403, 393
392, 401, 389
395, 406, 398
387, 397, 392
357, 363, 356
339, 345, 338
342, 347, 337
352, 354, 343
346, 347, 336
356, 357, 351
371, 371, 364
401, 402, 391
385, 389, 377
394, 400, 390
396, 399, 387
379, 380, 366
368, 371, 360
378, 384, 363
383, 388, 372
383, 392, 384
369, 380, 372
366, 379, 371
384, 399, 390
384, 398, 390
397, 413, 402
412, 425, 410
406, 417, 402
402, 415, 399
420, 432, 420
438, 449, 439
453, 464, 452
486, 498, 483
492, 505, 492
471, 485, 478
455, 469, 469
452, 468, 466
389, 403, 399
362, 377, 372
380, 391, 388
403, 413, 411
417, 428, 426
399, 411, 405
404, 421, 415
410, 430, 421
418, 439, 433
407, 428, 420
424, 443, 432
431, 450, 437
403, 417, 404
400, 407, 394
419, 424, 406
420, 424, 401
448, 453, 427
426, 427, 400
418, 419, 394
402, 407, 381
424, 433, 405
409, 420, 393
444, 455, 426
470, 481, 456
489, 501, 475
501, 516, 494
479, 489, 469
496, 502, 475
598, 623, 634
920, 985, 1042
948, 1022, 1086
1054, 1145, 1215
1119, 1222, 1303
1199, 1313, 1415
1318, 1448, 1567
1408, 1550, 1673
1532, 1678, 1807
1651, 1801, 1938
1764, 1930, 2077
1897, 2074, 2222
2003, 2187, 2341
2175, 2379, 2536
2274, 2496, 2649
2390, 2623, 2781
2507, 2751, 2909
2615, 2858, 3012
2856, 3105, 3251
3033, 3298, 3435
3137, 3397, 3531
3336, 3597, 3722
3580, 3850, 3974
3878, 4143, 4253
4086, 4343, 4437
4279, 4529, 4617
4423, 4676, 4765
4518, 4772, 4845
4693, 4943, 5005
4850, 5095, 5146
5071, 5318, 5363
5146, 5396, 5435
5202, 5449, 5491
5254, 5499, 5554
5300, 5563, 5597
5342, 5608, 5641
5432, 5711, 5738
5507, 5794, 5821
5635, 5928, 5949
5791, 6094, 6114
5861, 6178, 6191
5908, 6231, 6241
5924, 6261, 6272
5985, 6324, 6338
6005, 6366, 6376
6056, 6420, 6436
6067, 6438, 6454
5997, 6381, 6395
6052, 6446, 6459
6157, 6559, 6581
6158, 6564, 6597
6178, 6602, 6630
6126, 6568, 6601
6100, 6536, 6574
6133, 6597, 6635
6211, 6678, 6720
6328, 6807, 6855
6375, 6878, 6934
6471, 6978, 7040
6430, 6953, 7020
6464, 6996, 7067
6455, 6988, 7063
6481, 7015, 7099
6439, 6974, 7063
6449, 6994, 7101
6430, 6994, 7108
6434, 7011, 7132
6398, 6988, 7117
6435, 7025, 7151
6439, 7041, 7180
6486, 7102, 7253
6485, 7109, 7264
6389, 7018, 7172
6318, 6954, 7112
6264, 6928, 7098
6280, 6941, 7130
6234, 6893, 7095
6196, 6854, 7057
6215, 6898, 7106
6196, 6888, 7106
6159, 6863, 7098
6137, 6853, 7098
6120, 6846, 7096
6053, 6769, 7017
6015, 6757, 7000
5933, 6668, 6919
5923, 6659, 6929
5834, 6583, 6862
5803, 6557, 6853
5831, 6601, 6913
5876, 6660, 6976
5943, 6754, 7070
6002, 6836, 7159
5946, 6784, 7101
5839, 6692, 7015
5806, 6642, 6965
5722, 6555, 6886
5611, 6438, 6776
5542, 6378, 6737
5558, 6403, 6769
5608, 6473, 6846
5597, 6472, 6847
5586, 6456, 6826
5735, 6610, 6987
5710, 6605, 6995
5664, 6564, 6964
5656, 6557, 6963
5719, 6616, 7030
5783, 6685, 7103
5756, 6663, 7085
5714, 6621, 7045
5650, 6551, 6980
5581, 6475, 6902
5473, 6352, 6783
5473, 6354, 6796
5492, 6374, 6821
5507, 6391, 6847
5578, 6474, 6934
5597, 6503, 6973
5641, 6558, 7040
5738, 6673, 7170
5768, 6709, 7211
5845, 6790, 7294
5770, 6712, 7213
5730, 6671, 7179
5769, 6719, 7240
5711, 6647, 7172
5712, 6644, 7166
5718, 6653, 7179
5727, 6668, 7207
5708, 6654, 7192
5696, 6643, 7181
5679, 6625, 7166
5683, 6630, 7173
5739, 6692, 7232
5675, 6623, 7153
5611, 6551, 7082
5573, 6513, 7045
5530, 6468, 6999
5601, 6550, 7086
5612, 6558, 7092
5604, 6551, 7084
5593, 6548, 7080
5577, 6534, 7075
5706, 6675, 7228
5728, 6706, 7256
5742, 6711, 7261
5773, 6745, 7303
5736, 6708, 7263
5706, 6680, 7231
5750, 6727, 7285
5764, 6748, 7305
5717, 6697, 7253
5657, 6631, 7184
5638, 6611, 7166
5579, 6546, 7110
5557, 6522, 7088
5665, 6641, 7212
5678, 6659, 7231
5694, 6671, 7245
5730, 6718, 7298
5773, 6758, 7349
5707, 6683, 7273
5650, 6623, 7211
5590, 6555, 7145
5610, 6554, 7147
5600, 6550, 7143
5565, 6525, 7109
5491, 6446, 7028
5525, 6479, 7066
5499, 6444, 7034
5433, 6374, 6968
5539, 6498, 7095
5544, 6512, 7110
5561, 6531, 7133
5631, 6610, 7211
5666, 6650, 7260
5803, 6802, 7420
5944, 6962, 7589
6052, 7085, 7711
6029, 7058, 7676
5976, 7008, 7617
5953, 6987, 7591
5961, 6997, 7600
5937, 6968, 7567
5824, 6829, 7428
5700, 6699, 7294
5749, 6760, 7363
5788, 6801, 7407
5778, 6787, 7390
5842, 6852, 7449
5771, 6763, 7355
5821, 6811, 7414
5783, 6768, 7373
5773, 6761, 7371
5849, 6854, 7452
5822, 6819, 7426
5834, 6828, 7445
5775, 6759, 7377
5758, 6738, 7353
5801, 6781, 7398
5793, 6771, 7383
5706, 6672, 7270
5709, 6670, 7267
5721, 6679, 7276
5790, 6755, 7335
5830, 6795, 7372
5861, 6825, 7406
5887, 6857, 7445
6006, 6977, 7576
6097, 7076, 7677
6081, 7061, 7652
6203, 7199, 7788
6262, 7268, 7849
6312, 7326, 7912
6240, 7241, 7819
6084, 7060, 7637
6035, 6994, 7579
6051, 7010, 7602
6178, 7150, 7755
6242, 7212, 7818
6305, 7272, 7879
6229, 7184, 7785
6184, 7136, 7738
6162, 7114, 7721
6114, 7046, 7660
6089, 7014, 7628
6199, 7141, 7760
6297, 7253, 7868
6304, 7265, 7876
6250, 7202, 7804
6140, 7083, 7681
6172, 7105, 7706
6217, 7155, 7762
6271, 7212, 7823
6293, 7244, 7835
6240, 7184, 7776
6260, 7208, 7802
6281, 7229, 7822
6231, 7174, 7760
6201, 7149, 7740
6265, 7220, 7819
6318, 7275, 7881
6334, 7283, 7886
6222, 7162, 7760
6205, 7145, 7742
6228, 7167, 7768
6059, 6972, 7566
5984, 6888, 7480
6090, 6998, 7601
6097, 7000, 7609
6043, 6943, 7551
6105, 7021, 7627
6188, 7127, 7734
6205, 7151, 7758
6292, 7241, 7843
6299, 7255, 7859
6264, 7215, 7821
6064, 6993, 7593
6228, 7171, 7772
