R, G, B
489, 484, 494
494, 495, 506
480, 494, 502
454, 475, 483
456, 486, 491
436, 463, 466
447, 473, 477
450, 473, 479
454, 477, 488
465, 488, 501
465, 489, 502
459, 483, 497
485, 512, 529
481, 504, 521
474, 496, 512
507, 529, 546
506, 528, 544
469, 490, 505
462, 482, 494
438, 461, 474
443, 470, 484
458, 490, 506
459, 493, 507
473, 507, 520
488, 523, 529
472, 507, 511
459, 494, 496
457, 495, 494
472, 510, 507
478, 515, 512
498, 532, 526
514, 544, 537
486, 517, 504
489, 520, 509
489, 516, 507
487, 515, 506
484, 512, 506
503, 533, 529
497, 525, 524
495, 522, 522
477, 504, 503
486, 513, 516
495, 523, 524
459, 487, 489
459, 488, 488
446, 479, 478
440, 475, 473
425, 461, 461
448, 485, 488
459, 495, 498
478, 515, 517
477, 512, 516
485, 522, 528
480, 520, 524
487, 528, 533
492, 531, 539
494, 532, 543
474, 514, 521
450, 487, 489
428, 464, 465
437, 474, 474
432, 472, 474
443, 484, 487
453, 495, 499
460, 499, 504
467, 505, 508
484, 523, 522
493, 531, 531
503, 541, 539
513, 550, 547
517, 551, 547
528, 562, 562
551, 575, 577
562, 587, 591
548, 576, 577
545, 578, 574
530, 567, 560
520, 564, 557
526, 574, 568
530, 580, 576
530, 582, 582
518, 571, 572
541, 592, 591
558, 616, 612
545, 607, 599
539, 603, 596
549, 614, 607
539, 599, 595
544, 601, 591
543, 600, 590
520, 576, 565
497, 551, 539
480, 530, 518
463, 510, 497
452, 494, 481
426, 462, 453
424, 457, 451
429, 461, 455
434, 464, 462
414, 445, 447
443, 476, 478
451, 487, 492
449, 489, 493
443, 482, 487
444, 488, 492
448, 494, 498
473, 516, 517
483, 524, 519
479, 519, 513
483, 522, 512
484, 524, 511
478, 515, 503
494, 534, 523
483, 523, 517
490, 530, 526
477, 517, 513
464, 500, 496
456, 493, 492
457, 492, 487
455, 490, 486
480, 518, 519
496, 538, 537
517, 553, 550
536, 572, 564
545, 583, 574
548, 584, 573
549, 589, 576
535, 570, 560
533, 569, 563
527, 564, 559
515, 555, 550
491, 531, 529
496, 537, 539
520, 556, 562
538, 573, 579
537, 571, 580
561, 595, 601
559, 591, 598
549, 582, 591
540, 579, 586
541, 585, 590
521, 568, 571
508, 555, 557
510, 556, 553
526, 574, 565
515, 560, 551
499, 540, 534
475, 513, 511
476, 512, 513
472, 509, 508
483, 521, 519
474, 515, 514
468, 513, 509
463, 508, 506
483, 529, 526
494, 537, 531
499, 538, 530
514, 554, 547
529, 572, 565
530, 573, 568
523, 570, 564
512, 558, 554
489, 534, 534
476, 521, 525
477, 522, 524
473, 515, 514
473, 515, 513
476, 518, 518
491, 532, 523
500, 536, 529
515, 549, 541
497, 530, 517
480, 516, 503
504, 548, 533
506, 557, 541
500, 555, 539
490, 556, 536
464, 528, 509
451, 510, 492
445, 502, 486
450, 508, 492
473, 530, 515
493, 548, 539
519, 570, 566
517, 564, 566
516, 562, 565
530, 575, 579
551, 591, 595
565, 600, 604
575, 605, 610
574, 603, 609
565, 596, 601
559, 598, 593
526, 565, 559
509, 550, 545
487, 531, 526
462, 506, 502
449, 495, 493
469, 512, 513
474, 511, 515
485, 522, 521
489, 529, 528
502, 544, 542
495, 540, 537
503, 548, 545
520, 564, 554
528, 570, 562
545, 587, 582
549, 600, 593
536, 589, 581
540, 594, 586
534, 588, 578
532, 584, 573
533, 585, 578
525, 576, 570
499, 548, 543
489, 541, 531
509, 559, 549
503, 550, 540
504, 547, 542
500, 543, 543
495, 539, 537
510, 554, 546
524, 568, 559
547, 592, 579
557, 599, 586
561, 604, 588
556, 596, 581
557, 598, 588
564, 602, 596
538, 573, 566
542, 573, 569
551, 590, 586
548, 587, 584
544, 581, 575
553, 590, 581
581, 620, 610
571, 610, 604
570, 611, 605
571, 609, 604
572, 623, 609
580, 628, 616
584, 634, 623
602, 651, 636
599, 646, 632
571, 614, 603
556, 597, 589
556, 595, 586
559, 600, 591
548, 586, 581
569, 603, 600
584, 620, 619
595, 633, 633
583, 624, 626
586, 634, 633
605, 655, 653
620, 683, 672
608, 669, 660
595, 654, 646
583, 644, 634
589, 649, 639
582, 645, 633
565, 625, 614
566, 620, 610
569, 629, 619
570, 632, 625
550, 613, 602
530, 587, 576
522, 572, 561
524, 573, 562
520, 574, 560
523, 581, 566
521, 580, 569
544, 606, 596
575, 638, 632
562, 625, 619
566, 628, 622
596, 652, 644
599, 657, 645
611, 669, 656
649, 707, 694
653, 709, 697
640, 693, 678
629, 682, 666
622, 675, 654
587, 642, 619
586, 646, 625
592, 654, 635
589, 651, 634
572, 632, 617
567, 626, 613
564, 621, 607
581, 637, 625
589, 648, 632
614, 675, 658
632, 695, 679
627, 691, 676
619, 685, 669
627, 698, 682
642, 716, 703
653, 725, 712
652, 722, 708
656, 724, 707
670, 737, 715
667, 734, 706
651, 715, 689
649, 708, 688
644, 696, 678
621, 668, 653
610, 659, 644
624, 671, 658
628, 672, 662
629, 675, 663
635, 684, 676
631, 685, 678
637, 695, 689
629, 687, 684
604, 663, 658
612, 673, 666
633, 695, 686
624, 684, 678
614, 671, 668
623, 676, 675
609, 661, 657
603, 652, 647
608, 656, 652
601, 650, 641
595, 645, 633
610, 663, 647
603, 658, 642
597, 657, 638
589, 652, 634
582, 645, 625
586, 651, 633
588, 651, 637
581, 641, 629
582, 648, 631
595, 660, 646
596, 655, 648
589, 650, 644
579, 644, 639
580, 647, 644
570, 636, 634
585, 646, 644
600, 663, 652
606, 666, 655
612, 673, 663
623, 681, 671
644, 701, 693
631, 684, 677
653, 699, 696
651, 694, 692
642, 692, 686
636, 687, 682
622, 672, 670
609, 664, 660
619, 677, 671
607, 666, 660
610, 670, 665
638, 699, 693
633, 702, 695
619, 690, 679
605, 674, 662
580, 650, 637
594, 664, 647
619, 690, 667
617, 688, 662
618, 690, 665
618, 677, 663
591, 651, 640
588, 645, 636
564, 620, 610
548, 605, 595
559, 617, 606
570, 630, 619
598, 656, 642
599, 653, 630
609, 657, 634
631, 680, 654
635, 679, 655
637, 678, 657
627, 671, 652
613, 662, 644
597, 644, 626
592, 642, 623
581, 627, 606
572, 615, 597
558, 599, 580
559, 599, 585
563, 600, 588
562, 595, 582
577, 607, 596
603, 644, 627
638, 680, 665
667, 707, 693
663, 704, 694
660, 707, 700
644, 701, 694
639, 704, 695
636, 700, 691
628, 690, 676
602, 670, 654
594, 665, 647
600, 676, 655
593, 672, 649
580, 656, 633
579, 645, 627
582, 642, 624
577, 633, 615
534, 589, 570
523, 576, 556
511, 562, 540
487, 533, 514
470, 518, 501
493, 543, 529
523, 573, 559
546, 600, 581
554, 610, 595
560, 615, 602
571, 625, 615
600, 656, 646
603, 658, 649
600, 652, 647
583, 630, 624
571, 619, 610
558, 606, 598
532, 580, 570
532, 582, 570
542, 592, 577
541, 592, 577
535, 586, 573
557, 610, 600
593, 643, 633
622, 666, 658
641, 683, 672
641, 682, 668
646, 690, 673
642, 687, 667
641, 687, 665
640, 684, 665
632, 683, 663
617, 668, 651
597, 647, 634
606, 658, 649
596, 649, 642
591, 643, 635
606, 662, 651
599, 653, 640
595, 646, 637
601, 646, 637
618, 663, 652
636, 675, 662
643, 683, 670
