R, G, B
312, 304, 277
341, 330, 308
309, 299, 276
292, 286, 265
318, 308, 279
339, 332, 308
323, 312, 290
340, 329, 307
387, 371, 348
375, 367, 345
309, 304, 285
365, 363, 340
359, 366, 343
437, 434, 402
416, 410, 374
343, 340, 317
352, 349, 324
387, 396, 371
398, 403, 371
386, 391, 366
412, 420, 398
391, 398, 377
372, 378, 359
387, 386, 363
433, 425, 394
427, 427, 395
419, 423, 397
428, 430, 401
433, 436, 410
403, 416, 399
468, 481, 452
513, 527, 490
468, 471, 435
392, 389, 358
475, 475, 443
375, 382, 356
396, 402, 380
393, 407, 391
452, 463, 439
470, 487, 460
487, 501, 473
493, 506, 478
460, 475, 453
426, 436, 412
471, 477, 446
466, 476, 447
478, 490, 465
519, 534, 508
447, 458, 439
442, 449, 421
478, 496, 474
483, 490, 467
448, 452, 425
477, 485, 458
472, 497, 477
528, 540, 517
539, 548, 525
510, 515, 488
497, 510, 491
437, 443, 426
515, 526, 508
584, 594, 567
527, 541, 519
459, 466, 443
492, 496, 472
522, 538, 520
563, 581, 557
567, 574, 549
536, 533, 512
521, 525, 506
586, 596, 570
529, 539, 521
562, 567, 544
609, 616, 589
511, 511, 483
521, 531, 511
519, 539, 518
593, 600, 576
893, 912, 894
3667, 3808, 3824
4680, 4877, 4891
4822, 5011, 5016
4882, 5064, 5060
4800, 4979, 4973
4838, 5012, 5007
4828, 5004, 4990
4807, 4961, 4945
4943, 5113, 5093
4736, 4903, 4883
4646, 4840, 4819
4603, 4801, 4776
4569, 4769, 4736
4791, 4980, 4937
4962, 5132, 5097
4806, 4963, 4930
4861, 5027, 4997
4649, 4801, 4778
4754, 4909, 4888
4842, 5004, 4966
4848, 5010, 4955
4990, 5167, 5092
4852, 5040, 4971
4791, 4986, 4933
4759, 4954, 4894
4763, 4964, 4906
4660, 4853, 4802
4712, 4902, 4867
4668, 4847, 4822
4886, 5053, 5022
4811, 4978, 4935
4820, 4990, 4939
4927, 5110, 5048
4852, 5031, 4960
4854, 5036, 4965
4788, 4983, 4913
4743, 4930, 4861
4932, 5117, 5039
4827, 5000, 4930
4816, 4987, 4916
4805, 4989, 4928
4766, 4941, 4878
4949, 5117, 5056
5030, 5200, 5132
4962, 5125, 5034
4906, 5077, 4988
4927, 5105, 5029
4962, 5133, 5061
4896, 5063, 4991
4701, 4845, 4779
4812, 4963, 4899
4789, 4948, 4878
4919, 5074, 5002
4840, 4986, 4917
4811, 4961, 4901
4763, 4915, 4857
4801, 4944, 4877
4845, 4997, 4926
4813, 4971, 4896
4962, 5115, 5022
4971, 5142, 5037
4986, 5158, 5050
4965, 5143, 5041
4792, 4961, 4877
4765, 4947, 4860
4783, 4953, 4866
4802, 4978, 4886
4674, 4863, 4774
4827, 5033, 4932
4909, 5102, 4997
4756, 4934, 4842
4671, 4860, 4774
4782, 4972, 4885
4875, 5057, 4978
4869, 5037, 4958
4787, 4964, 4873
4857, 5052, 4956
4852, 5036, 4929
4889, 5087, 4970
4646, 4834, 4733
4735, 4931, 4834
4754, 4937, 4833
4634, 4810, 4710
4696, 4862, 4765
4370, 4505, 4451
1092, 1134, 1106
472, 491, 480
581, 589, 567
507, 519, 503
542, 554, 533
506, 516, 499
636, 634, 608
578, 580, 555
513, 519, 489
487, 496, 480
556, 566, 543
584, 607, 585
553, 570, 551
558, 553, 528
532, 536, 511
560, 582, 563
557, 572, 550
510, 518, 498
494, 507, 489
518, 514, 489
522, 527, 501
549, 564, 543
533, 541, 521
476, 481, 466
473, 487, 467
509, 516, 490
564, 575, 549
521, 535, 509
467, 476, 459
471, 480, 458
495, 490, 470
517, 522, 498
453, 465, 445
529, 545, 521
562, 577, 548
527, 542, 515
468, 482, 459
575, 587, 559
460, 476, 458
469, 489, 466
401, 412, 388
478, 477, 450
489, 501, 472
515, 531, 502
514, 524, 494
450, 455, 428
437, 447, 424
437, 448, 422
470, 479, 457
495, 509, 483
451, 463, 442
492, 500, 473
525, 532, 500
484, 495, 464
496, 510, 479
477, 491, 462
470, 470, 440
425, 428, 400
364, 374, 353
443, 459, 435
470, 478, 446
450, 454, 423
434, 446, 415
458, 462, 431
435, 446, 417
391, 398, 375
392, 399, 375
410, 415, 385
415, 417, 389
469, 466, 431
400, 402, 375
355, 357, 332
355, 356, 334
335, 335, 311
383, 382, 357
419, 418, 391
346, 353, 334
344, 353, 334
362, 363, 340
350, 354, 331
421, 423, 391
361, 362, 339
389, 384, 358
374, 369, 337
369, 373, 345
366, 365, 340
304, 304, 289
288, 290, 272
344, 340, 315
436, 427, 395
362, 354, 325
354, 333, 307
